N,P,K,temperature,humidite,pH,precipitation,ratio_N_P,ratio_N_K,ratio_P_K,score_NPK_balance,EC_approx,pH_times_EC
-1.3405894547644361,-0.8235017596079842,-0.7367182050064698,-2.6099953531977724,1.043902655559356,0.9796463837806059,103.5771468,1.6279132850943803,1.8196773822803296,1.1177974889337128,-0.4687374353397904,1.36781,1.3399701201989505
0.3725567613634248,-0.003692214048944197,-0.2284098081443643,0.11632715971460855,0.6016215925630664,-1.1324075906289806,220.1156708,-100.90334862085227,-1.631089156766656,0.016164866469353046,0.3984116016137834,1.36781,-1.5489184265382259
-1.0291083245593706,0.25981799702360436,-0.5964951989755441,1.1944698600215093,-1.2729737066163906,-1.2115074427893997,177.5764304,-3.960881603078006,1.7252583530040504,-0.43557433063976214,-2.128350501950716,1.36781,-1.6571119953217688
-0.8733677594568378,0.2012601723408158,-0.4738000686984842,-1.3477673369699101,-1.9469729137752991,-0.9353111182535354,144.7902323,-4.339496231663108,1.8433255230543868,-0.42477868965631854,-2.3468316451221387,1.36781,-1.2793279006583682
-0.89932452030726,-1.2919643570702928,-0.7191903292526041,0.6796360712786578,0.9890245835094787,0.12854305969032637,117.1311498,0.696090813485445,1.2504680384702263,1.7964150858548475,-0.523441561881187,1.36781,0.1758224824750253
-0.5618866292517721,-0.003692214048944197,-0.6490788262371412,0.4886126719638949,0.7827437720753164,0.7844691863063535,51.52617423,152.1814883436798,0.865667784156753,0.0056883908389814665,-162.98906002448336,1.36781,1.0730047977216934
1.6963515647349539,0.8746751561928844,-0.0005474233441101401,0.8022774834499246,0.6893906250101393,-0.6847042722454686,98.75084366,1.9394075077180681,-3098.792886687076,-1597.8039036948744,0.5423506568834915,1.36781,-0.9365453506200744
-0.8474109986064157,-0.38431807448706995,-0.6140230747294098,0.7054238138573905,0.7307027870237104,0.38153394740297514,37.2464655,2.204973054513277,1.3800963408091076,0.6259016807412862,-0.9013340379658976,1.36781,0.5218659485972634
-0.8474109986064157,-0.38431807448706995,-0.6315509504832755,1.0649816176094222,-0.4597960455912565,-2.0832495772151507,45.43669946,2.204973054513277,1.341793560690487,0.608530593126306,-0.9241379039728483,1.36781,-2.849489604210655
-0.3282757815979729,0.4354914710719701,-0.5614394474678127,-0.6352121295938413,-1.8640459294966554,-0.7213057299481023,61.13872036,-0.7538053059682572,0.5847038056883114,-0.7756695277400094,-0.021507064847256396,1.36781,-0.9866091904803137
